	AK  	Ca 	Cu 	Fe 	K 	Mg 	Mn 	P 	Zn 	clay 	sand 	silt 	soilMoisture 	pH	N	C	C/N	Hg  
sample19	2.57	1043	62.3	46017	813	1189	471	235	48.2	24.9	13.9	61.2	75.14	6.48	0.08	1.01	12.9	3.53
sample20	2.42	509	19.6	20087	401	587	177	105	41.6	20.3	48.7	31	85.67	4.91	0.04	0.54	12.52	0.21
sample21	3.06	1003	35.9	33913	634	972	309	148	34.9	24.8	34.3	40.9	79.8	6.97	0.04	0.58	14.4	0.087
sample22	3.78	1188	23.6	26124	317	573	455	133	34	20.2	42.5	37.2	81.47	6.47	0.12	1.25	10.53	0.156
sample23	3.22	1128	23.1	26065	311	575	481	128	33.4	20.2	42.4	37.4	81.61	6.46	0.12	1.29	10.86	0.212
sample24	6.46	2194	30.1	39589	376	811	459	114	42.1	32.2	34.9	32.9	81.6	7.36	0.08	0.8	10.13	0.061
sample25	4.22	268	11.8	11939	307	206	257	78.2	20.4	12.6	45	42.3	82.05	4.4	0.1	1.04	10.53	0.168
sample26	5.03	549	16.2	19184	423	308	321	114	24.6	15.5	38.9	45.5	80.58	5.18	0.12	1.25	10.66	0.137
sample27	5.04	209	28.1	35471	948	437	246	126	25.3	36.3	31.2	32.4	68.47	4.14	0.03	0.18	6.56	0.015
sample28	10.8	382	26.9	30239	1212	506	583	131	24.9	37.2	27.8	34.9	81.24	4.43	0.06	0.4	7.16	0.032
sample29	3.77	98	25.1	32130	657	345	136	140	20.3	31.2	43.1	25.7	85.76	4	0.02	0.1	5.49	0.02
sample33	22.3	368	25	38648	955	417	183	131	20.9	36	28.5	35.4	83.28	4.71	0.09	0.95	11	0.026
sample34	12.2	414	27.2	42706	692	361	189	146	20.7	36.9	30.4	32.7	83.88	4.5	0.08	0.8	9.93	0.024
sample35	12.6	390	25.6	43197	876	415	249	136	21.2	37.4	27.9	34.7	82.87	4.5	0.07	0.61	8.19	0.022
sample47	2.57	1043	62.3	46017	813	1189	471	235	48.2	24.9	13.9	61.2	75.14	6.48	0.08	1.01	12.9	3.53
sample48	2.42	509	19.6	20087	401	587	177	105	41.6	20.3	48.7	31	85.67	4.91	0.04	0.54	12.52	0.21
sample49	3.06	1003	35.9	33913	634	972	309	148	34.9	24.8	34.3	40.9	79.8	6.97	0.04	0.58	14.4	0.087
sample50	3.78	1188	23.6	26124	317	573	455	133	34	20.2	42.5	37.2	81.47	6.47	0.12	1.25	10.53	0.156
sample51	3.22	1128	23.1	26065	311	575	481	128	33.4	20.2	42.4	37.4	81.61	6.46	0.12	1.29	10.86	0.212
sample52	6.46	2194	30.1	39589	376	811	459	114	42.1	32.2	34.9	32.9	81.6	7.36	0.08	0.8	10.13	0.061
sample53	4.22	268	11.8	11939	307	206	257	78.2	20.4	12.6	45	42.3	82.05	4.4	0.1	1.04	10.53	0.168
sample54	5.03	549	16.2	19184	423	308	321	114	24.6	15.5	38.9	45.5	80.58	5.18	0.12	1.25	10.66	0.137
sample55	5.04	209	28.1	35471	948	437	246	126	25.3	36.3	31.2	32.4	68.47	4.14	0.03	0.18	6.56	0.015
sample56	10.8	382	26.9	30239	1212	506	583	131	24.9	37.2	27.8	34.9	81.24	4.43	0.06	0.4	7.16	0.032
sample57	3.77	98	25.1	32130	657	345	136	140	20.3	31.2	43.1	25.7	85.76	4	0.02	0.1	5.49	0.02
sample60	22.3	368	25	38648	955	417	183	131	20.9	36	28.5	35.4	83.28	4.71	0.09	0.95	11	0.026
sample61	12.2	414	27.2	42706	692	361	189	146	20.7	36.9	30.4	32.7	83.88	4.5	0.08	0.8	9.93	0.024
sample62	12.6	390	25.6	43197	876	415	249	136	21.2	37.4	27.9	34.7	82.87	4.5	0.07	0.61	8.19	0.022
