ASV	Phylum	Class	Order	Family	Genus
ASV1	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
ASV2	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
ASV3	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus
ASV4	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
ASV5	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus
ASV6	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus
ASV7	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus
ASV8	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus
ASV9	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
ASV10	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
ASV11	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
ASV12	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
ASV13	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
ASV14	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus
ASV15	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus
ASV16	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
ASV17	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus
ASV18	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia
ASV19	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus
ASV20	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus
ASV21	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia
ASV22	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus
ASV23	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia
ASV24	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora
ASV25	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus
